symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
HINDCOPPER,INE531E01026,2025-05-30,BSE,EQ,A,sell,False,50.0,247.0,1235300,1748579404050484980,2025-05-30T10:24:15
AARTIDRUGS,INE767A01016,2025-05-30,BSE,EQ,B,sell,False,25.0,460.0,4380000,1748580213754627752,2025-05-30T10:32:42
AARTIDRUGS,INE767A01016,2025-05-30,BSE,EQ,B,sell,False,1.0,460.05,4379800,1748580213754627752,2025-05-30T10:32:42
AARTIDRUGS,INE767A01016,2025-05-30,BSE,EQ,B,sell,False,1.0,460.0,4380100,1748580213754627752,2025-05-30T10:32:42
AARTIDRUGS,INE767A01016,2025-05-30,BSE,EQ,B,sell,False,23.0,460.0,4380300,1748580213754627752,2025-05-30T10:32:42
BAJAJHFL,INE377Y01014,2025-06-02,NSE,EQ,EQ,buy,False,1.0,122.39,5243244,1000000049655914,2025-06-02T13:34:25
YUKEN,INE384C01016,2025-06-03,NSE,EQ,EQ,sell,False,11.0,1053.1,601487562,1300000009407360,2025-06-03T09:37:33
YUKEN,INE384C01016,2025-06-03,NSE,EQ,EQ,sell,False,2.0,1052.8,601487563,1300000009407360,2025-06-03T09:37:33
HINDCOPPER,INE531E01026,2025-06-03,NSE,EQ,EQ,sell,False,50.0,252.0,202925331,1100000021780954,2025-06-03T10:16:40
HERANBA-T,INE694N01015,2025-06-03,BSE,EQ,T,sell,False,15.0,298.8,161900,1748923200000000043,2025-06-03T10:34:04
FINPIPE,INE183A01024,2025-06-04,NSE,EQ,EQ,buy,False,46.0,217.67,200265366,1100000000276190,2025-06-04T09:15:00
FIVESTAR,INE128S01021,2025-06-04,NSE,EQ,EQ,buy,False,4.0,684.95,200045560,1100000000321337,2025-06-04T09:15:03
ITC,INE154A01025,2025-06-04,NSE,EQ,EQ,buy,False,23.0,418.0,200062435,1100000000411310,2025-06-04T09:15:10
IRFC,INE053F01010,2025-06-04,NSE,EQ,EQ,sell,False,120.0,140.1,201129580,1100000008594460,2025-06-04T09:35:32
BBL,INE464A01036,2025-06-04,NSE,EQ,EQ,buy,False,1.0,2899.9,2531152,1000000022887552,2025-06-04T10:45:12
COALINDIA,INE522F01014,2025-06-04,NSE,EQ,EQ,buy,False,25.0,393.45,3695398,1000000034107470,2025-06-04T12:02:41
PNCINFRA,INE195J01029,2025-06-05,NSE,EQ,EQ,sell,False,10.0,300.0,401362222,1200000011136622,2025-06-05T09:47:37
VBL,INE200M01039,2025-06-05,NSE,EQ,EQ,buy,False,21.0,472.5,601956528,1300000013632358,2025-06-05T09:53:40
PNCINFRA,INE195J01029,2025-06-05,NSE,EQ,EQ,sell,False,10.0,316.5,402488164,1200000021261452,2025-06-05T10:37:59
BBL,INE464A01036,2025-06-06,NSE,EQ,EQ,sell,False,1.0,3039.3,492710,1000000002956161,2025-06-06T09:19:37
RPGLIFE,INE105J01010,2025-06-06,NSE,EQ,EQ,buy,False,1.0,2138.3,606178760,1300000051925267,2025-06-06T13:14:03
RPGLIFE,INE105J01010,2025-06-06,NSE,EQ,EQ,buy,False,3.0,2138.4,606178761,1300000051925267,2025-06-06T13:14:03
FIVESTAR,INE128S01021,2025-06-06,NSE,EQ,EQ,sell,False,24.0,735.0,206958039,1100000059622334,2025-06-06T13:21:28
PNCINFRA,INE195J01029,2025-06-09,NSE,EQ,EQ,sell,False,10.0,318.85,402215091,1200000016805863,2025-06-09T10:05:35
JPPOWER,INE351F01018,2025-06-10,BSE,EQ,A,sell,False,800.0,17.3,1612100,1749526200005620496,2025-06-10T09:22:56
DHARMAJ-BE,INE00OQ01016,2025-06-10,NSE,EQ,BE,sell,False,50.0,263.0,205330024,1100000039381063,2025-06-10T12:05:31
DHARMAJ-BE,INE00OQ01016,2025-06-10,NSE,EQ,BE,sell,False,30.0,263.0,205448227,1100000039381063,2025-06-10T12:05:31
ELECTCAST,INE086A01029,2025-06-10,BSE,EQ,A,sell,False,30.0,116.05,6223300,1749541090271808035,2025-06-10T14:17:13
ELECTCAST,INE086A01029,2025-06-11,NSE,EQ,EQ,sell,False,20.0,123.57,204147007,1100000032422256,2025-06-11T11:19:11
M&MFIN,INE774D01024,2025-06-12,NSE,EQ,EQ,sell,False,3.0,275.8,403600901,1200000037343592,2025-06-12T11:45:37
M&MFIN,INE774D01024,2025-06-12,NSE,EQ,EQ,sell,False,2.0,275.8,403600902,1200000037343592,2025-06-12T11:45:37
