symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
AZAD,INE02IJ01035,2024-10-08,NSE,EQ,EQ,BUY,FALSE,3,1363.2,2988231,NA,NA
BAJAJHFL,INE377Y01014,2024-10-08,NSE,EQ,EQ,BUY,FALSE,14,138.0,498873,NA,NA
BAJAJHFL,INE377Y01014,2024-10-08,NSE,EQ,EQ,BUY,FALSE,46,138.0,498874,NA,NA
PNCINFRA,INE195J01029,2024-10-08,NSE,EQ,EQ,BUY,FALSE,4,423.05,404184858,NA,NA
PNCINFRA,INE195J01029,2024-10-08,NSE,EQ,EQ,BUY,FALSE,1,424.0,404345214,NA,NA
PNCINFRA,INE195J01029,2024-10-08,NSE,EQ,EQ,BUY,FALSE,4,424.0,404345215,NA,NA
COCHINSHIP,INE704P01025,2024-10-08,NSE,EQ,EQ,BUY,FALSE,2,1615.0,2970818,NA,NA
COCHINSHIP,INE704P01025,2024-10-08,NSE,EQ,EQ,BUY,FALSE,2,1600.5,3092235,NA,NA
TATATECH,INE142M01025,2024-10-07,NSE,EQ,EQ,SELL,FALSE,7,1038.55,603139150,NA,NA
NH,INE410P01011,2024-10-07,NSE,EQ,EQ,SELL,FALSE,4,1200.0,404272577,NA,NA
AZAD,INE02IJ01035,2024-10-04,NSE,EQ,EQ,BUY,FALSE,5,1386.2,778863,NA,NA
NH,INE410P01011,2024-10-04,NSE,EQ,EQ,SELL,FALSE,5,1206.0,401438618,NA,NA
PNCINFRA,INE195J01029,2024-10-04,NSE,EQ,EQ,BUY,FALSE,2,425.4,401509180,NA,NA
PNCINFRA,INE195J01029,2024-10-04,NSE,EQ,EQ,BUY,FALSE,1,425.4,401509181,NA,NA
PNCINFRA,INE195J01029,2024-10-04,NSE,EQ,EQ,BUY,FALSE,1,425.4,401509182,NA,NA
PNCINFRA,INE195J01029,2024-10-04,NSE,EQ,EQ,BUY,FALSE,6,425.4,401509183,NA,NA
OLAELEC,INE0LXG01040,2024-10-04,NSE,EQ,EQ,BUY,FALSE,10,96.61,401257601,NA,NA
COCHINSHIP,INE704P01025,2024-10-04,NSE,EQ,EQ,BUY,FALSE,3,1650.25,880558,NA,NA
AZAD,INE02IJ01035,2024-10-01,NSE,EQ,EQ,BUY,FALSE,3,1452.2,296250,NA,NA
OLAELEC,INE0LXG01040,2024-10-01,NSE,EQ,EQ,BUY,FALSE,10,100.07,400641059,NA,NA
HAPPSTMNDS,INE419U01012,2024-09-30,NSE,EQ,EQ,SELL,FALSE,5,811.1,207228723,NA,NA
AZAD,INE02IJ01035,2024-09-30,NSE,EQ,EQ,BUY,FALSE,2,1460.4,5766327,NA,NA
OLAELEC,INE0LXG01040,2024-09-30,NSE,EQ,EQ,BUY,FALSE,10,100.7,408422536,NA,NA
COCHINSHIP,INE704P01025,2024-09-30,NSE,EQ,EQ,BUY,FALSE,1,1718.35,5805924,NA,NA
OLAELEC,INE0LXG01040,2024-09-25,NSE,EQ,EQ,BUY,FALSE,14,106.28,401408131,NA,NA
OLAELEC,INE0LXG01040,2024-09-25,NSE,EQ,EQ,BUY,FALSE,36,106.29,401408132,NA,NA
PNCINFRA,INE195J01029,2024-09-24,NSE,EQ,EQ,BUY,FALSE,5,434.45,406506524,NA,NA
AZAD,INE02IJ01035,2024-09-20,NSE,EQ,EQ,BUY,FALSE,2,1479.8,1268941,NA,NA
COCHINSHIP,INE704P01025,2024-09-20,NSE,EQ,EQ,BUY,FALSE,1,1727.25,1194003,NA,NA
PNCINFRA,INE195J01029,2024-09-20,NSE,EQ,EQ,BUY,FALSE,10,438.0,401469435,NA,NA
AZAD,INE02IJ01035,2024-09-19,NSE,EQ,EQ,BUY,FALSE,1,1461.4,2501072,NA,NA
AZAD,INE02IJ01035,2024-09-19,NSE,EQ,EQ,BUY,FALSE,3,1461.4,2501073,NA,NA
COCHINSHIP,INE704P01025,2024-09-19,NSE,EQ,EQ,BUY,FALSE,1,1649.85,5181046,NA,NA
COCHINSHIP,INE704P01025,2024-09-19,NSE,EQ,EQ,BUY,FALSE,1,1649.85,5181047,NA,NA
NATIONALUM,INE139A01034,2024-09-19,NSE,EQ,EQ,SELL,FALSE,110,178.21,405871705,NA,NA
COCHINSHIP,INE704P01025,2024-09-16,NSE,EQ,EQ,BUY,FALSE,6,1793.25,1767582,NA,NA
BEARDSELL,INE520H01022,2024-09-10,NSE,EQ,EQ,SELL,FALSE,200,45.0,1158657,NA,NA
AZAD,INE02IJ01035,2024-09-10,NSE,EQ,EQ,BUY,FALSE,3,1516.5,1034881,NA,NA
AZAD,INE02IJ01035,2024-09-09,NSE,EQ,EQ,BUY,FALSE,5,1560.7,46159,NA,NA
AZAD,INE02IJ01035,2024-09-09,NSE,EQ,EQ,BUY,FALSE,2,1515.9,5717362,NA,NA
AZAD,INE02IJ01035,2024-09-09,NSE,EQ,EQ,BUY,FALSE,3,1515.95,5717363,NA,NA
PNCINFRA,INE195J01029,2024-08-30,NSE,EQ,EQ,BUY,FALSE,4,449.65,404728380,NA,NA
PNCINFRA,INE195J01029,2024-08-30,NSE,EQ,EQ,BUY,FALSE,6,449.65,404728381,NA,NA
POONAWALLA,INE511C01022,2024-08-29,NSE,EQ,EQ,SELL,FALSE,20,398.55,400041897,NA,NA
PNCINFRA,INE195J01029,2024-08-23,NSE,EQ,EQ,BUY,FALSE,10,464.5,403936099,NA,NA
TATATECH,INE142M01025,2024-08-21,NSE,EQ,EQ,SELL,FALSE,5,1030.0,603591756,NA,NA
PNCINFRA,INE195J01029,2024-08-21,NSE,EQ,EQ,BUY,FALSE,5,464.9,404324870,NA,NA
PNCINFRA,INE195J01029,2024-08-20,NSE,EQ,EQ,BUY,FALSE,5,464.9,408753769,NA,NA
NH,INE410P01011,2024-08-19,NSE,EQ,EQ,BUY,FALSE,2,1179.25,408204197,NA,NA
PNCINFRA,INE195J01029,2024-08-19,NSE,EQ,EQ,BUY,FALSE,5,467.75,408214101,NA,NA
NATIONALUM,INE139A01034,2024-08-16,NSE,EQ,EQ,BUY,FALSE,10,164.85,405658470,NA,NA
NH,INE410P01011,2024-08-16,NSE,EQ,EQ,BUY,FALSE,5,1183.3,405677467,NA,NA
CYIENTDLM,INE055S01018,2024-08-14,NSE,EQ,EQ,SELL,FALSE,13,763.2,1687820,NA,NA
CYIENTDLM,INE055S01018,2024-08-14,NSE,EQ,EQ,SELL,FALSE,1,763.15,1687821,NA,NA
NATIONALUM,INE139A01034,2024-08-14,NSE,EQ,EQ,BUY,FALSE,10,171.61,402748988,NA,NA
PNCINFRA,INE195J01029,2024-08-13,NSE,EQ,EQ,BUY,FALSE,2,487.35,403717198,NA,NA
PNCINFRA,INE195J01029,2024-08-13,NSE,EQ,EQ,BUY,FALSE,18,487.45,403717199,NA,NA
NH,INE410P01011,2024-08-13,NSE,EQ,EQ,BUY,FALSE,2,1192.2,407210949,NA,NA
BEL,INE263A01024,2024-08-13,NSE,EQ,EQ,SELL,FALSE,6,300.8,4876568,NA,NA
